name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Pisang goroho segar,0.11386138613861387,0.002,0.010857142857142857,0.04312210200927357,4,High-Carb,Low-Protein,0.45650935861415987
Pisang Ambon,0.09801980198019802,0.002,0.006857142857142857,0.03987635239567233,4,High-Carb,Low-Protein,0.4563673664071037
Kecipir buah muda,0.034653465346534656,0.002,0.01657142857142857,0.0012364760432766616,4,Low-Carb,Low-Protein,0.4561577983278848
Pisang Raja,0.1188118811881188,0.002,0.006857142857142857,0.0491499227202473,4,High-Carb,Low-Protein,0.4545556427663739
passion fruit juice yellow,0.12475247524752475,0.001,0.005714285714285714,0.05193199381761979,2,High-Carb,Low-Protein,0.4540657438160579
Tepung beras mentah,0.3495049504950495,0.005,0.04,0.12364760432766615,1,High-Carb,High-Protein,0.45391960881625476
Pisang gapi segar ,0.12574257425742574,0.003,0.012,0.04806800618238022,4,High-Carb,Low-Protein,0.45384431386966145
Buah negri segar,0.054455445544554455,0.001,0.006857142857142857,0.018856259659969087,4,Low-Carb,Low-Protein,0.4538196033542486
Pisang Raja Sere (Susu),0.11683168316831684,0.002,0.006857142857142857,0.04806800618238022,2,High-Carb,Low-Protein,0.4529995169525947
tomato vegetable juice,0.05247524752475247,0.002,0.008571428571428572,0.017156105100463677,2,Low-Carb,Low-Protein,0.45215759112158743
vegetable juice,0.05247524752475247,0.002,0.008571428571428572,0.017156105100463677,2,Low-Carb,Low-Protein,0.45215759112158743
Beras jagung putih kering mentah,0.30396039603960395,0.001,0.027428571428571427,0.11097372488408036,1,High-Carb,Low-Protein,0.45203864077117634
Roti Putih,0.24554455445544554,0.012,0.045714285714285714,0.07727975270479134,1,High-Carb,High-Protein,0.4520303316638421
tomato juice,0.040594059405940595,0.006999999999999999,0.012,0.01329211746522411,2,Low-Carb,Low-Protein,0.45059959839712127
Sayur bunga pepaya,0.048514851485148516,0.003,0.009714285714285713,0.015146831530139104,3,Low-Carb,Low-Protein,0.45059741456082364
Jagung Putih muda,0.12772277227722773,0.013000000000000001,0.023428571428571427,0.04683153013910356,1,High-Carb,Low-Protein,0.44831201386215297
Jagung Kuning muda,0.12772277227722773,0.013000000000000001,0.023428571428571427,0.04683153013910356,1,High-Carb,Low-Protein,0.44831201386215297
Beras parboiled,0.3495049504950495,0.006,0.038857142857142854,0.12364760432766615,1,High-Carb,High-Protein,0.4477885053548632
Mangga segar,0.05148514851485149,0.0,0.004,0.01901081916537867,4,Low-Carb,Low-Protein,0.4469322299130816
Beras jagung kuning kering mentah,0.35445544554455444,0.001,0.03142857142857143,0.12782071097372488,1,High-Carb,High-Protein,0.44645621314397765
breadnut tree seeds raw,0.060396039603960394,0.003,0.009714285714285713,0.02024729520865533,1,Low-Carb,Low-Protein,0.44640566987612923
Sayur lilin-terubuk,0.03564356435643565,0.006999999999999999,0.01542857142857143,0.007418856259659969,3,Low-Carb,Low-Protein,0.4445959145344453
Koya mirasa,0.36633663366336633,0.01,0.045714285714285714,0.12704791344667699,3,High-Carb,High-Protein,0.44429560111896
Bihun mentah,0.3445544554455446,0.001,0.026857142857142857,0.12689335394126738,1,High-Carb,Low-Protein,0.44332630461731803
Mangga Gedong,0.04356435643564356,0.002,0.004,0.01731066460587326,4,Low-Carb,Low-Protein,0.4432573536819267
Nangka masak di pohon,0.10495049504950495,0.003,0.006857142857142857,0.04265842349304482,4,High-Carb,Low-Protein,0.4432101355797417
chocolate pudding fat free,0.10396039603960396,0.003,0.012571428571428572,0.03647604327666151,2,High-Carb,Low-Protein,0.4429285638925853
Mangga Indramayu,0.0712871287128713,0.002,0.004571428571428572,0.02890262751159196,4,High-Carb,Low-Protein,0.4415048711657063
vanilla yogurt,0.14356435643564355,0.021,0.048,0.03632148377125193,0,High-Carb,High-Protein,0.4410638147207695
Kacang merah /banda kering,0.34653465346534656,0.03,0.07942857142857143,0.10340030911901082,1,High-Carb,High-Protein,0.4410192112104422
woca seeds dried,0.100990099009901,0.003,0.012571428571428572,0.03493044822256569,4,High-Carb,Low-Protein,0.4406514755288619
instant coffee powder decaffeinated,0.005940594059405941,0.0006900000000000001,0.001142857142857143,0.0021638330757341576,2,Low-Carb,Low-Protein,0.44040205245070635
Tepung Beras,0.3603960396039604,0.005,0.04,0.12364760432766615,1,High-Carb,High-Protein,0.4402022960621533
Buah Mentega (bisbul),0.03861386138613861,0.002,0.004,0.01499227202472952,4,Low-Carb,Low-Protein,0.4400448794781677
Kembang Turi,0.04356435643564356,0.006,0.010285714285714285,0.014837712519319937,4,Low-Carb,Low-Protein,0.43895949372717963
vanilla yogurt low fat,0.20594059405940596,0.031000000000000003,0.06914285714285714,0.05224111282843894,0,High-Carb,High-Protein,0.43888156923376975
Tepung Tales Beneng,0.3287128712871287,0.006,0.03257142857142857,0.11761978361669241,2,High-Carb,High-Protein,0.43865265443018436
Pisang mas bali,0.12574257425742574,0.002,0.008,0.0491499227202473,4,High-Carb,Low-Protein,0.4385903855996875
orange grapefruit juice,0.10495049504950495,0.002,0.008571428571428572,0.039258114374034,2,High-Carb,Low-Protein,0.43667355976058336
Beras giling var pelita mentah,0.36534653465346534,0.013999999999999999,0.054285714285714284,0.11916537867078825,1,High-Carb,High-Protein,0.4364367563277606
Beras hitam mentah,0.34752475247524756,0.013000000000000001,0.045714285714285714,0.1188562596599691,1,High-Carb,High-Protein,0.43614190975689027
Daun gedi besar segar,0.05742574257425743,0.006999999999999999,0.01657142857142857,0.015455950540958269,2,Low-Carb,Low-Protein,0.43581401260962016
Beras Ketan Hitam,0.35247524752475246,0.006999999999999999,0.04,0.1205564142194745,1,High-Carb,High-Protein,0.43565038863701333
Tepung Terigu,0.3613861386138614,0.013000000000000001,0.05085714285714286,0.11947449768160741,1,High-Carb,High-Protein,0.4353548417417743
Ikan sale lais mentah,0.4108910891089109,0.17600000000000002,0.35028571428571426,0.004482225656877898,3,Low-Carb,High-Protein,0.43507272269534486
Beras Ketan Putih tumbuk,0.3574257425742574,0.008,0.04228571428571429,0.12117465224111283,1,High-Carb,High-Protein,0.4349432988902036
Beras ketan putih tumbuk mentah,0.3574257425742574,0.008,0.04228571428571429,0.12117465224111283,1,High-Carb,High-Protein,0.4349432988902036
Beras Parboiled,0.3603960396039604,0.006,0.038857142857142854,0.12380216383307573,1,High-Carb,High-Protein,0.43468533166191153
Roti warna sawo matang,0.24653465346534653,0.015,0.045142857142857144,0.0768160741885626,1,High-Carb,High-Protein,0.4338477207170121
prune juice,0.1801980198019802,6e-05,0.009142857142857144,0.06908809891808347,2,High-Carb,Low-Protein,0.43380344769268053
energy drink red bull,0.1099009900990099,0.0,0.006857142857142857,0.040803709428129824,2,High-Carb,Low-Protein,0.43366687211337457
Ubi jalar manis segar,0.08217821782178218,0.002,0.008571428571428572,0.029057187017001548,1,High-Carb,Low-Protein,0.4335477573624034
Jeruk Bali,0.047524752475247525,0.002,0.0034285714285714284,0.019165378670788255,4,Low-Carb,Low-Protein,0.4333219155253874
Jambu Biji,0.048514851485148516,0.003,0.005142857142857143,0.018856259659969087,4,Low-Carb,Low-Protein,0.43283001658240294
Beras Merah tumbuk,0.35544554455445543,0.009000000000000001,0.04285714285714286,0.11993817619783616,1,High-Carb,High-Protein,0.4326819923028317
lemonade low calorie,0.006930693069306931,0.0,0.0005257142857142857,0.002472952086553323,2,Low-Carb,Low-Protein,0.4326023010951684
sports drink,0.025742574257425745,0.0,0.0,0.011128284389489953,2,Low-Carb,Low-Protein,0.4322742552456559
Beras tumbuk merah mentah,0.3485148514851485,0.009000000000000001,0.04171428571428571,0.11777434312210201,1,High-Carb,High-Protein,0.43179851990979123
Beras Giling,0.3564356435643564,0.006999999999999999,0.038857142857142854,0.12194744976816074,1,High-Carb,High-Protein,0.43150611869549105
cranberry juice,0.09108910891089109,0.003,0.004571428571428572,0.03771251931993817,2,High-Carb,Low-Protein,0.43126469340152257
Misoa,0.3415841584158416,0.022000000000000002,0.04857142857142857,0.1205564142194745,3,High-Carb,High-Protein,0.4307208295384761
Beras Ketan Putih,0.3584158415841584,0.006999999999999999,0.038285714285714284,0.12272024729520867,1,High-Carb,High-Protein,0.42968394258549775
Jambu biji putih tidak berbiji,0.060396039603960394,0.003,0.005142857142857143,0.023802163833075735,4,Low-Carb,Low-Protein,0.42957438222239613
Bika Ambon ,0.22346534653465347,0.003,0.017142857142857144,0.08176197836166924,4,High-Carb,Low-Protein,0.42916903145259133
Bihun,0.3564356435643564,0.001,0.026857142857142857,0.12689335394126738,1,High-Carb,Low-Protein,0.42854880258917705
Batatas kelapa ubi segar,0.08811881188118811,0.001,0.006285714285714286,0.03245749613601236,2,High-Carb,Low-Protein,0.4283169654585259
Mangga Golek,0.062376237623762376,0.002,0.002857142857142857,0.025811437403400306,4,High-Carb,Low-Protein,0.427537051598833
Emping beras,0.39900990099009903,0.022000000000000002,0.06057142857142857,0.13183925811437402,1,High-Carb,High-Protein,0.42708278461302274
breadnut tree seeds dried,0.5811881188118811,0.027000000000000003,0.07885714285714286,0.19629057187017002,1,High-Carb,High-Protein,0.4269655206804261
Beras Setengah Giling,0.3594059405940594,0.011000000000000001,0.04342857142857143,0.12102009273570324,1,High-Carb,High-Protein,0.4269496407349319
Buah Nona,0.1,0.006,0.009714285714285713,0.03894899536321483,4,High-Carb,Low-Protein,0.4266285444895606
Oncom Kacang Tanah pepes,0.1306930693069307,0.038,0.07257142857142856,0.021174652241112826,2,Low-Carb,High-Protein,0.4265387183072827
Tepung Sente,0.3227722772277228,0.004,0.022857142857142857,0.11854714064914992,1,High-Carb,Low-Protein,0.4256990686665532
Emping komak,0.35148514851485146,0.046,0.10171428571428572,0.09381761978361669,1,High-Carb,High-Protein,0.4254275911859559
Beras Pecah Kulit,0.3316831683168317,0.019,0.04228571428571429,0.11777434312210201,1,High-Carb,High-Protein,0.42528426401429203
Beras giling var rojolele mentah,0.35346534653465345,0.017,0.048,0.11916537867078825,1,High-Carb,High-Protein,0.42483642401318733
Beras giling mentah,0.35346534653465345,0.017,0.048,0.11916537867078825,1,High-Carb,High-Protein,0.42483642401318733
full throttle coca cola,0.10891089108910891,0.002,0.0034285714285714284,0.04482225656877898,2,High-Carb,Low-Protein,0.42466279425365194
Nasi,0.1782178217821782,0.003,0.017142857142857144,0.06151468315301391,1,High-Carb,Low-Protein,0.4245204829618998
apricot nectar,0.13762376237623763,0.002,0.005142857142857143,0.055177743431221025,2,High-Carb,Low-Protein,0.4237653135025346
Ketan putih matang,0.1613861386138614,0.004,0.017142857142857144,0.055177743431221025,1,High-Carb,Low-Protein,0.4233336135758849
Beras Ketan Putih kukus,0.1613861386138614,0.004,0.017142857142857144,0.055177743431221025,1,High-Carb,Low-Protein,0.4233336135758849
Pisang Oli,0.13267326732673268,0.005,0.006285714285714286,0.05486862442040186,4,High-Carb,Low-Protein,0.4232496612762643
Kacang komak segar,0.3237623762376238,0.043,0.09371428571428571,0.08624420401854714,1,High-Carb,High-Protein,0.42302032837807196
citrus fruit juice,0.11287128712871287,0.0005700000000000001,0.004571428571428572,0.0437403400309119,2,High-Carb,Low-Protein,0.4229715709392739
Jeruk Garut,0.04356435643564356,0.003,0.004571428571428572,0.016846986089644512,4,Low-Carb,Low-Protein,0.4227766318928546
