name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Martabak mesir,0.2752475247524752,0.086,0.0291428571428571,0.0695517774343122,2,High-Carb,High-Protein,0.046120627126286354
Sapi ginjal segar,0.1356435643564356,0.081,0.0857142857142857,0.0013910355486862,3,Low-Carb,High-Protein,0.04500970084528301
Ginjal Sapi,0.1396039603960396,0.081,0.0857142857142857,0.0013910355486862,3,Low-Carb,High-Protein,0.04373283904563254
tapioca pudding,0.1415841584158416,0.043,0.012,0.0369397217928902,4,High-Carb,Low-Protein,0.04195158489313543
vanilla pudding,0.193069306930693,0.057,0.0125714285714285,0.0523956723338485,4,High-Carb,Low-Protein,0.041265283263557336
Daun kasbi/singkong karet segar,0.091089108910891,0.036,0.0228571428571428,0.0168469860896445,1,Low-Carb,Low-Protein,0.04066444744742678
fennel seeds,0.0069306930693069,0.003,0.0017142857142857,0.0015455950540958,4,Low-Carb,Low-Protein,0.03749167278225801
Ayam usus goreng,0.4683168316831683,0.263,0.2582857142857143,0.0214837712519319,3,Low-Carb,High-Protein,0.03580791591337752
Karedok ,0.1452475247524752,0.059,0.0337142857142857,0.0304482225656877,3,High-Carb,High-Protein,0.03554258667185139
Katul Beras,0.2722772277227723,0.148,0.072,0.0843894899536321,1,High-Carb,High-Protein,0.03081219539218579
Pisang Siam goreng,0.6188118811881188,0.0,0.0057142857142857,0.0125193199381761,4,Low-Carb,Low-Protein,0.029465459118196334
Biskuit,0.4534653465346535,0.144,0.0394285714285714,0.1160741885625965,0,High-Carb,High-Protein,0.025366292513371545
Pelecing kangkung,0.0742574257425742,0.0279999999999999,0.0142857142857142,0.0154559505409582,3,Low-Carb,Low-Protein,0.023454103817258255
Kambing daging segar,0.1475247524752475,0.092,0.0948571428571428,0.0,3,Low-Carb,High-Protein,0.01936707869103865
Daging Kambing,0.1524752475247524,0.092,0.0948571428571428,0.0,3,Low-Carb,High-Protein,0.01873828155876535
Tahu,0.0673267326732673,0.046,0.0445714285714285,0.0024729520865533,3,Low-Carb,High-Protein,0.015511894081596977
Karedok sayur,0.091089108910891,0.033,0.0125714285714285,0.0217928902627511,3,Low-Carb,Low-Protein,0.01497768364196655
Mie kering,0.3336633663366337,0.118,0.0451428571428571,0.0772797527047913,1,High-Carb,High-Protein,0.013254666346919559
espresso,0.0029702970297029,0.00086,0.00012,0.0007727975270479,2,Low-Carb,Low-Protein,0.011038117939753542
chocolate pudding,0.2108910891089108,0.069,0.0177142857142857,0.053323029366306,2,High-Carb,Low-Protein,0.009660462320801276
Kacang negara,0.4752475247524752,0.191,0.1051428571428571,0.0904173106646058,1,High-Carb,High-Protein,0.009595332904690154
corn pudding,0.3247524752475247,0.126,0.0634285714285714,0.065533230293663,1,High-Carb,High-Protein,0.009120154049088879
Ikan Belut Segar goreng,0.4128712871287128,0.1939999999999999,0.148,0.0494590417310664,3,High-Carb,High-Protein,0.008377994452284772
Belut goreng,0.4128712871287128,0.1939999999999999,0.148,0.0494590417310664,3,High-Carb,High-Protein,0.008377994452284772
Ketumbar,0.4,0.161,0.0805714285714285,0.0837712519319938,4,High-Carb,High-Protein,0.008356680366854878
Kerupuk cumi goreng,0.4396039603960396,0.146,0.0394285714285714,0.1102009273570324,3,High-Carb,High-Protein,0.008256273501404537
yoplait light strawberry yogurt yoplait,0.0782178217821782,0.0,0.0,0.000114374034003,0,Low-Carb,Low-Protein,0.0014622316137860771
pesca tea santal,0.1148514851485148,0.0,0.0,0.0,2,Low-Carb,Low-Protein,0.0
apple juice martinellis,0.1207920792079207,0.0,0.0,0.0,2,Low-Carb,Low-Protein,0.0
nesfit diet cereal nestle,0.0742574257425742,0.0,0.0,0.0,2,Low-Carb,Low-Protein,0.0
